FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
198	69266	219	483	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
199	69485	558	237	252	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
200	70044	179	217	470	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
201	70223	219	461	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
202	70442	219	569	292	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
203	70662	199	649	285	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
204	70861	179	703	289	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
205	71040	299	407	287	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
206	71340	399	259	261	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
207	71738	299	415	298	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
208	72197	279	405	323	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
209	72476	518	508	388	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
210	72994	120	460	421	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
211	73114	977	407	429	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
212	74091	239	493	486	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
213	74330	379	871	760	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
214	74709	578	784	693	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
215	75287	179	854	842	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
216	75606	140	861	862	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
217	75746	239	814	867	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
218	75985	219	818	675	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
219	76204	199	421	844	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
220	76403	399	471	314	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
221	76802	199	519	266	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
222	77001	379	216	248	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
223	77380	120	260	223	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
224	77500	319	216	170	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
225	77819	479	216	258	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
226	78298	498	254	191	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
227	78796	279	216	251	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
228	79075	279	267	248	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
229	79354	498	314	174	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
230	79853	1136	561	203	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
231	80989	239	408	273	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
232	81228	339	496	274	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
233	81567	199	581	281	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
234	81766	1037	404	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
235	82803	798	513	289	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
236	83601	698	492	398	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
237	84299	279	404	411	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
238	84578	578	210	248	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
239	85156	339	219	173	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
240	85495	578	218	244	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
241	86073	239	279	249	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
242	86312	379	211	265	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
243	86691	299	270	268	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
244	86990	180	307	276	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
245	87170	179	228	611	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
246	87349	239	244	853	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
247	87588	239	356	882	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
248	87827	638	834	888	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
249	88465	399	788	871	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
250	88864	259	829	717	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
251	89124	558	784	676	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
252	89682	2193	810	867	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
253	91875	459	870	869	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
254	92333	219	729	284	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
255	92553	160	542	276	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
256	92712	339	787	220	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
257	93051	299	519	310	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
258	93350	478	575	395	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
259	93829	199	474	291	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
260	94028	200	412	281	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
261	94227	439	538	217	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
262	94666	219	505	172	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
263	94885	219	418	348	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
264	95105	2572	395	424	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
265	97676	1874	494	423	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
266	99551	1734	599	423	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
267	101285	1954	694	425	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
268	103239	219	455	497	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
269	103458	260	406	519	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
270	103718	159	532	236	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
271	103877	259	555	175	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
272	104136	279	438	344	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
273	104415	399	523	261	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
274	104814	159	422	391	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
